Epoch, Latitude, Longitude, Altitude
0, 36.3723217474, 127.3587608643, 92.0846042223
1, 36.3723268607, 127.3587606233, 92.0861913543
2, 36.3723316826, 127.3587606335, 92.1018566191
3, 36.3723371139, 127.3587603524, 92.1203836352
4, 36.3723432314, 127.3587602946, 92.1166009251
5, 36.3723493644, 127.3587606689, 92.1366452249
6, 36.3723556575, 127.3587609153, 92.1665963614
7, 36.3723623026, 127.3587615544, 92.1605247520
8, 36.3723689563, 127.3587621227, 92.1563878115
9, 36.3723753260, 127.3587625280, 92.1362487739
10, 36.3723815654, 127.3587615432, 91.9178386712
11, 36.3723876186, 127.3587622368, 92.1211298294
12, 36.3723939485, 127.3587620173, 92.1208691532
13, 36.3723999653, 127.3587616837, 92.1152578508
14, 36.3724052860, 127.3587605618, 92.1200622963
15, 36.3724099492, 127.3587577095, 92.1127509447
16, 36.3724130060, 127.3587530675, 92.0993028879
17, 36.3724149946, 127.3587467534, 92.0627631154
18, 36.3724161077, 127.3587389869, 92.0505302465
19, 36.3724163650, 127.3587317628, 92.0409073541
20, 36.3724161040, 127.3587239247, 92.0364996120
21, 36.3724156848, 127.3587156287, 92.0202799523
22, 36.3724152336, 127.3587069884, 92.0126324641
23, 36.3724146142, 127.3586985139, 92.0139424568
24, 36.3724145793, 127.3586905776, 91.9930714443
25, 36.3724144225, 127.3586833108, 91.9936999884
26, 36.3724143789, 127.3586750459, 92.0002178987
27, 36.3724142774, 127.3586658914, 91.9972129976
28, 36.3724143649, 127.3586573015, 91.9997170493
29, 36.3724144826, 127.3586488795, 91.9826867105
30, 36.3724145084, 127.3586402466, 91.9838735545
31, 36.3724144606, 127.3586314916, 91.9737836001
32, 36.3724144640, 127.3586232030, 91.9640545771
33, 36.3724122990, 127.3586173641, 91.9635084588
34, 36.3724088273, 127.3586128960, 91.9573327145
35, 36.3724044420, 127.3586108963, 91.9472643482
36, 36.3723993220, 127.3586105831, 91.9331386397
37, 36.3723940055, 127.3586112909, 91.9329998046
38, 36.3723887690, 127.3586119213, 91.9316454362
39, 36.3723831356, 127.3586124990, 91.9487312008
40, 36.3723770619, 127.3586131557, 91.9632162843
41, 36.3723710923, 127.3586134473, 91.9628393594
42, 36.3723648336, 127.3586139230, 91.9744490050
43, 36.3723584376, 127.3586150720, 91.9818412773
44, 36.3723520894, 127.3586159453, 91.9818753516
45, 36.3723451172, 127.3586164071, 91.9923524084
46, 36.3723378114, 127.3586165596, 92.0099999271
47, 36.3723310432, 127.3586164643, 92.0113040665
48, 36.3723252039, 127.3586172045, 91.9780443991
49, 36.3723211291, 127.3586201636, 91.9892004887
50, 36.3723189221, 127.3586254205, 91.9899550872
51, 36.3723190114, 127.3586323940, 92.0207694899
52, 36.3723204295, 127.3586412116, 92.0757639520
53, 36.3723200733, 127.3586510359, 91.9164366899
54, 36.3723230004, 127.3586602101, 92.2885319442
55, 36.3723222048, 127.3586692931, 92.0366440192
56, 36.3723219751, 127.3586786832, 91.8667710293
57, 36.3723225217, 127.3586873235, 91.9325328898
58, 36.3723224699, 127.3586950181, 91.9321701517
59, 36.3723236411, 127.3586998861, 92.2050747368
60, 36.3723240288, 127.3587061180, 92.2022748748
61, 36.3723234661, 127.3587148421, 92.0742539046
62, 36.3723233529, 127.3587234657, 92.1173188128
63, 36.3723231181, 127.3587315905, 92.0963913230
64, 36.3723238654, 127.3587395834, 92.0794402622
65, 36.3723253146, 127.3587473940, 92.1041827286
66, 36.3723276055, 127.3587548077, 92.1771369148
67, 36.3723316889, 127.3587593052, 92.1857423577
68, 36.3723369938, 127.3587622678, 92.1679143691
69, 36.3723433010, 127.3587639009, 92.1667495286
70, 36.3723503258, 127.3587644802, 92.1752945511
71, 36.3723571916, 127.3587640848, 92.1961271865
72, 36.3723644542, 127.3587634122, 92.1810842250
73, 36.3723718817, 127.3587628047, 92.1612790320
74, 36.3723784896, 127.3587623596, 92.1691839220
75, 36.3723855155, 127.3587621346, 92.1639842661
76, 36.3723929768, 127.3587622106, 92.1777104493
77, 36.3724002711, 127.3587622878, 92.1550179021
78, 36.3724076168, 127.3587618411, 92.1331067877
79, 36.3724149547, 127.3587611536, 92.1344318390
80, 36.3724223077, 127.3587597751, 92.1283137761
81, 36.3724293022, 127.3587579867, 92.1208173027
82, 36.3724358424, 127.3587549745, 92.0929422807
83, 36.3724405074, 127.3587498947, 92.0585065708
84, 36.3724429979, 127.3587423646, 92.0536056319
